POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,219,8,5:03.397,-,-,161.7,8,CG RACING,FUN,,,FUN CUP,,,,,,,,,,,,,CG RACING,,,,,,,,,,
2,31,6,5:03.706,+0.309,+0.309,161.5,7,WRT-31,FUN,,,FUN CUP,,,,,,,,,,,,,WRT-31,,,,,,,,,,
3,2,2,5:04.752,+1.355,+1.046,161.0,8,DRM Autographe Fun,FUN,,,FUN CUP,,,,,,,,,,,,,DRM Autographe Fun,,,,,,,,,,
4,480,3,5:04.968,+1.571,+0.216,160.8,6,MILO RACING,FUN,,,FUN CUP,,,,,,,,,,,,,MILO RACING,,,,,,,,,,
5,482,4,5:05.264,+1.867,+0.296,160.7,8,NO LIMIT RACING,FUN,,,FUN CUP,,,,,,,,,,,,,NO LIMIT RACING,,,,,,,,,,
6,424,4,5:05.399,+2.002,+0.135,160.6,7,GROUPE LEMOINE BY M3M,FUN,,,FUN CUP,,,,,,,,,,,,,GROUPE LEMOINE BY M3M,,,,,,,,,,
7,451,8,5:05.571,+2.174,+0.172,160.5,8,ORHES - AIM FRANCE,FUN,,,FUN CUP,,,,,,,,,,,,,ORHES - AIM FRANCE,,,,,,,,,,
8,24,3,5:05.915,+2.518,+0.344,160.4,7,TEAM PETROLHEADS,FUN,,,FUN CUP,,,,,,,,,,,,,TEAM PETROLHEADS,,,,,,,,,,
9,298,5,5:06.202,+2.805,+0.287,160.2,7,NO LIMIT RACING,FUN,,,FUN CUP,,,,,,,,,,,,,NO LIMIT RACING,,,,,,,,,,
10,5,3,5:06.270,+2.873,+0.068,160.2,3,TEAM PETROLHEADS,FUN,,,FUN CUP,,,,,,,,,,,,,TEAM PETROLHEADS,,,,,,,,,,
